Дата;Область;Бензин автомобильный;АИ-92;АИ-95;АИ-98
09.09.2025;Республика Адыгея;65,48;61,15;67,52;90,34
10.09.2025;Республика Калмыкия;67,45;64,48;69,94;86,73
11.09.2025;Республика Крым;71,52;65,23;74,17;94,95
12.09.2025;Краснодарский край;63,82;60,64;67,02;86,57
13.09.2025;Астраханская область;63,63;60,54;66,25;86,83
14.09.2025;Волгоградская область;62,45;59,07;65,57;85,34
15.09.2025;Ростовская область;65,01;60,58;67,36;85,28
16.09.2025;г. Севастополь;72,59;64,52;74,37;94,73
01.12.2024;Республика Адыгея;68,68;57,22;63,15;86,99
02.12.2024;Республика Калмыкия;60,95;56,65;61,86;83,63
03.12.2024;Республика Крым;73,19;60,57;70,26;90,72
04.12.2024;Краснодарский край;62,48;56;62,05;83
05.12.2024;Астраханская область;61,57;56,28;61,15;81,86
06.12.2024;Волгоградская область;60,94;55,76;61,96;81,97
07.12.2024;Ростовская область;61,98;55,68;61,92;79,01
08.12.2024;г. Севастополь;68,16;60,38;70,43;90,31
01.07.2023;Республика Адыгея;57,52;50,82;56,65;65,89
02.07.2023;Республика Калмыкия;53,41;50,66;55,32;62,88
03.07.2023;Республика Крым;58,9;54,62;60,48;73,03
04.07.2023;Краснодарский край;54,84;50,35;55,87;65,08
05.07.2023;Астраханская область;52,63;50,35;54,79;62,73
06.07.2023;Волгоградская область;53,14;49,52;55,06;61,51
07.07.2023;Ростовская область;55,23;50,64;56,37;64,47
08.07.2023;г. Севастополь;59,72;54,79;60,66;71,76
19.12.2022;Республика Адыгея;53,98;49,02;54,56;63,59
20.12.2022; Республика Калмыкия;49,77;47,18;52,38;60,67
21.12.2022; Республика Крым;55,22;51,13;56,34;66,02
22.12.2022; Краснодарский край;52,28;47,83;53,07;62,16
23.12.2022; Астраханская область;50,91;48,64;52,81;60,46
24.12.2022; Волгоградская область;51,5;48,08;53,37;59,19
25.12.2022; Ростовская область;52,1;47,65;53,07;61,33
26.12.2022; г. Севастополь;55,44;50,77;56,21;64,96
26.10.2021;Республика Адыгея;51,54;47,36;51,6;59,45
27.10.2021;Республика Калмыкия;49,41;47,8;50,98;56,64
28.10.2021;Республика Крым;53,21;50,29;54,75;63,39
29.10.2021;Краснодарский край;50,06;46,96;51,02;57,59
30.10.2021;Астраханская область;49,16;47,18;51,46;56,15
31.10.2021;Волгоградская область;48,15;45,93;51,62;55,82
01.11.2021;Ростовская область;51,07;47,58;52,11;57,89
02.11.2021;г. Севастополь;53,13;49,2;53,69;63,56
01.01.2020;Республика Адыгея;47,82;43,88;48,2;54,67
02.01.2020;Республика Калмыкия;44,51;42,63;46,44;52,02
03.01.2020;Республика Крым;48,06;44,24;48,71;55,25
04.01.2020;Краснодарский край;46,48;43,47;47,56;52,75
05.01.2020;Астраханская область;45,12;43,58;47,03;50,44
06.01.2020;Волгоградская область;44,82;43,22;47,09;51,91
07.01.2020;Ростовская область;46,26;43,5;47,23;52,37
08.01.2020;г. Севастополь;47,69;44,12;48,65;56,52
05.11.2019;Республика Адыгея;45,81;44,3;48,16;54,67
06.11.2019;Республика Калмыкия;44,76;42,74;46,61;52,02
07.11.2019;Республика Крым;48,36;44,63;49,15;55,69
08.11.2019;Краснодарский край;46,9;43,61;47,61;52,49
09.11.2019;Астраханская область;44,89;43,28;46,99;50,33
10.11.2019;Волгоградская область;44,74;43,24;47,02;51,91
11.11.2019;Ростовская область;46,45;43,88;47,59;52,13
12.11.2019;г. Севастополь;48,75;44,55;48,57;55,69
01.12.2018;Республика Адыгея;44,47;39,86;44,85;48,65
02.12.2018;Республика Калмыкия;43,6;38,65;41,79;46,75
03.12.2018;Республика Крым;49,48;41,63;44,57;50,67
04.12.2018;Краснодарский край;44,88;39,4;44,7;44,55
05.12.2018;Астраханская область;43,32;38,75;43,23;47,54
06.12.2018;Волгоградская область;43,02;38,61;43,17;47,87
07.12.2018;Ростовская область;45,18;42,88;46,21;50,55
08.12.2018;г. Севастополь;47,18;43,05;48,34;51,99
01.06.2017;Республика Адыгея;40,62;38,42;41,32;45,67
02.06.2017;Республика Калмыкия;40,72;37,8;40,6;44,56
03.06.2017;Республика Крым;40,6;40,13;44,73;46,74
04.06.2017;Краснодарский край;40,78;37,15;40,4;42,87
05.06.2017;Астраханская область;40,68;37,45;42,37;43,79
06.06.2017;Волгоградская область;40,65;37,56;40,68;44,02
07.06.2017;Ростовская область;40,63;37,92;41,4;43,79
08.06.2017;г. Севастополь;40,61;39,94;44,56;47,6
01.11.2016;Республика Адыгея;38,17;36,91;40,32;43,47
02.11.2016;Республика Калмыкия;37,6;36,23;39,06;41,36
03.11.2016;Республика Крым;39,87;38,66;41,86;44,25
04.11.2016;Краснодарский край;37,53;36,43;39,72;40,08
05.11.2016;Астраханская область;37,22;36,25;39,38;40,16
06.11.2016;Волгоградская область;37,06;35,9;39,08;41,84
07.11.2016;Ростовская область;37,05;35,98;39,06;42,01
08.11.2016;г. Севастополь;39,41;38,28;40,63;44,18
01.01.2015;Республика Адыгея;34,66;33,5;36,64;38,53
02.01.2015;Республика Калмыкия;34,14;32,86;35,44;37,65
03.01.2015;Республика Крым;38,16;37,26;39,81;40,9
04.01.2015;Краснодарский край;34,06;33;36,13;38,76
05.01.2015;Астраханская область;33,27;32,36;35,35;37,75
06.01.2015;Волгоградская область;33,65;32,59;35,47;38,34
07.01.2015;Ростовская область;33,53;32,57;35,33;39,02
08.01.2015;г. Севастополь;37,97;36,94;38,88;41,01
01.12.2014;Республика Адыгея;34,42;33,31;36,47;37,98
02.12.2014;Республика Калмыкия;34,3;32,94;35,6;36,87
03.12.2014;Республика Крым;37,6;36,95;39,8;40,36
04.12.2014;Краснодарский край;34,17;33,15;36,23;38,34
05.12.2014;Астраханская область;33,01;32,09;35,08;36,9
06.12.2014;Волгоградская область;33,25;32,18;35,05;37,64
07.12.2014;Ростовская область;33,54;32,57;35,33;37,53
08.12.2014;г. Севастополь;37,67;36,99;38,7;39,89
01.11.2013;Республика Адыгея;30,8;29,65;32,91;35,67
02.11.2013;Республика Калмыкия;31,16;30,02;32,61;36,03
03.11.2013;Республика Крым;32,96;32,67;33,57;38,97
04.11.2013;Краснодарский край;30,72;29,59;32,97;35,09
05.11.2013;Астраханская область;30,17;29,19;32,38;36,52
06.11.2013;Волгоградская область;30,05;28,9;32,12;35,78
07.11.2013;Ростовская область;30,39;29,24;32,46;36,93
08.11.2013;г. Севастополь;32,76;31,04;34,89;37,86
